1,Empresa Pública,Indireta
2,Banco Público,Indireta
3,Autarquia/Fundação,Indireta
7,Autarquia/Fundação,Indireta
8,Autarquia/Fundação,Indireta
14,Ministério,Direta
25,Empresa Pública,Indireta
26,Presidência,Direta
27,Presidência,Direta
46,Ministério,Direta
73,Empresa Pública,Indireta
74,Empresa Pública,Indireta
75,Empresa Pública,Indireta
89,Ministério,Direta
90,Empresa Pública,Indireta
91,Empresa Pública,Indireta
92,Empresa Pública,Indireta
93,Banco Público,Indireta
134,Empresa Pública,Indireta
166,Autarquia/Fundação,Indireta
169,Empresa Pública,Indireta
171,Banco Público,Indireta
172,Banco Público,Indireta
173,Autarquia/Fundação,Indireta
180,Empresa Pública,Indireta
181,Empresa Pública,Indireta
182,Empresa Pública,Indireta
183,Empresa Pública,Indireta
208,Empresa Pública,Indireta
221,Autarquia/Fundação,Indireta
223,Autarquia/Fundação,Indireta
224,Empresa Pública,Indireta
226,Empresa Pública,Indireta
227,Empresa Pública,Indireta
228,Empresa Pública,Indireta
235,Autarquia/Fundação,Indireta
240,Autarquia/Fundação,Indireta
244,Ministério,Direta
249,Autarquia/Fundação,Indireta
250,Autarquia/Fundação,Indireta
253,Autarquia/Fundação,Indireta
256,IFES,Indireta
257,Autarquia/Fundação,Indireta
258,Empresa Pública,Indireta
260,IFES,Indireta
261,Autarquia/Fundação,Indireta
263,Ministério,Direta
299,Autarquia/Fundação,Indireta
303,Empresa Pública,Indireta
304,Ministério,Direta
315,Autarquia/Fundação,Indireta
322,Autarquia/Fundação,Indireta
367,Autarquia/Fundação,Indireta
372,Empresa Pública,Indireta
382,Autarquia/Fundação,Indireta
415,IFES,Indireta
416,IFES,Indireta
417,IFES,Indireta
418,IFES,Indireta
419,IFES,Indireta
420,IFES,Indireta
421,IFES,Indireta
422,IFES,Indireta
423,IFES,Indireta
424,IFES,Indireta
425,IFES,Indireta
426,IFES,Indireta
427,IFES,Indireta
428,IFES,Indireta
429,IFES,Indireta
430,IFES,Indireta
431,IFES,Indireta
432,IFES,Indireta
433,IFES,Indireta
434,IFES,Indireta
439,IFES,Indireta
444,IFES,Indireta
445,IFES,Indireta
448,IFES,Indireta
451,IFES,Indireta
453,IFES,Indireta
454,IFES,Indireta
455,IFES,Indireta
456,IFES,Indireta
457,IFES,Indireta
458,IFES,Indireta
459,IFES,Indireta
460,IFES,Indireta
461,IFES,Indireta
462,IFES,Indireta
463,IFES,Indireta
464,IFES,Indireta
465,IFES,Indireta
466,IFES,Indireta
467,IFES,Indireta
468,IFES,Indireta
469,IFES,Indireta
470,IFES,Indireta
471,IFES,Indireta
472,IFES,Indireta
473,IFES,Indireta
474,IFES,Indireta
475,IFES,Indireta
476,IFES,Indireta
477,IFES,Indireta
478,Autarquia/Fundação,Indireta
701,Empresa Pública,Indireta
702,Empresa Pública,Indireta
758,Empresa Pública,Indireta
827,IFES,Indireta
930,Empresa Pública,Indireta
956,Autarquia/Fundação,Indireta
957,Empresa Pública,Indireta
958,Empresa Pública,Indireta
959,Empresa Pública,Indireta
970,IFES,Indireta
984,Autarquia/Fundação,Indireta
1013,Empresa Pública,Indireta
1209,IFES,Indireta
1408,Presidência,Direta
1605,IFES,Indireta
1710,IFES,Indireta
1734,IFES,Indireta
1782,Autarquia/Fundação,Indireta
1799,Autarquia/Fundação,Indireta
1800,Empresa Pública,Indireta
